smiles,pIC50,activity_label
NC(N)=NCCC[C@H](NC(=O)[C@@H]1CCN1C(=O)[C@H](N)Cc1ccccc1)C(=O)c1nccs1,8.522878745280337,Active
CN[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)NC(CCCN=C(N)N)C(=O)c1nc2ccc(O)cc2s1,8.522878745280337,Active
CC(C)C[C@@H](NC1CCCCC1)C(=O)N1CC[C@H]1C(=O)NCc1ccc2c(N)nccc2c1,8.522878745280337,Active
CC1=C(CC(=O)NCc2ccc(C(=N)N)cc2)C(=O)N(NS(=O)(=O)c2c(C)cccc2Cl)CC1,8.522878745280337,Active
NC1CCC(CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](N)C2CCCCC2)CC1,8.522878745280337,Active
COc1ccc(CNc2nc(-c3ccccn3)nn2C(=O)C(C)(C)C)cc1,8.522878745280337,Active
NC(N)=NCCC[C@H](NC(=O)[C@@H]1C[C@@H](OCc2ccccc2)CN1C(=O)[C@H](N)Cc1ccccc1)C(=O)CCl,8.522878745280337,Active
COc1ccccc1C(=O)n1nc(-c2cccnc2)nc1NCc1ccc(F)cc1,8.522878745280337,Active
CC1(C(=O)n2nc(-c3ccccn3)cc2NCc2ccc(Cl)s2)CCOCC1,8.522878745280337,Active
COc1ccccc1C(=O)n1nc(-c2ccccc2)nc1NCc1ccc(Cl)s1,8.522878745280337,Active
CCn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)c3c(C)cccc3C)ccc21,8.508638306165727,Active
CCn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)c3ccccc3C)ccc21,8.507239610973162,Active
COc1cc(C(=O)N2CCC(O)C(C)C2)cc2nc(NC(CF)c3cccc(Cl)c3)oc12,8.494850021680094,Active
N=C(N)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC2CCCCC2)NCC(=O)O)cn1,8.494850021680094,Active
Cc1cc(N(CCC(=O)O)C(=O)c2ccc3c(c2)nc(CNc2ccc(C(=N)N)cc2F)n3C)ccc1F,8.494850021680094,Active
CN1CCN=C1c1ccc(C(=O)N2CCN(S(=O)(=O)c3cc4ccc(Cl)cc4s3)CC2CC(=O)N2CCOCC2)cc1,8.494850021680094,Active
CCn1c(CNc2ccc(C(=N)N)cc2F)nc2cc(C(=O)N(CCC(=O)O)c3ccc(F)cc3F)ccc21,8.493494967595128,Active
Cn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)c3ccccc3F)ccc21,8.490797477668897,Active
CC[C@@H](C)[C@@H](NC(=O)[C@H](O)Cc1ccccc1)C(=O)N1[C@H](C(=O)NCc2ccc(C(=N)N)cc2)C[C@@H]2CCCC[C@@H]21,8.481486060122112,Active
CC[C@H](C)[C@@H](NC(=O)[C@H](O)Cc1ccccc1)C(=O)N1[C@H](C(=O)NCc2ccc(C(=N)N)cc2)C[C@@H]2CCCC[C@@H]21,8.481486060122112,Active
Cc1ccnc(N(CCC(=O)O)C(=O)c2ccc3c(c2)nc(CNc2ccc(C(=N)N)cc2F)n3C)c1,8.47755576649368,Active
Cc1ccc(C)c(N(CCC(=O)O)C(=O)c2ccc3c(c2)nc(CNc2ccc(C(=N)N)cc2F)n3C)c1,8.474955192963154,Active
CCn1c(CNc2ccc(C(=N)N)cc2F)nc2cc(C(=O)N(CCC(=O)O)c3ccccn3)ccc21,8.469800301796917,Active
N=C(N)c1ccc(CNC(=O)[C@@H]2C[C@@H]3CCCC[C@@H]3N2C(=O)[C@H](NC(=O)[C@H](O)Cc2ccccc2)C(C2CCCCC2)C2CCCCC2)cc1,8.468521082957745,Active
N=C(N)c1ccc(CNC(=O)[C@@H]2C[C@@H]3CCCC[C@@H]3N2C(=O)C(NC(=O)[C@H](O)Cc2ccccc2)C2CCCCC2)cc1,8.468521082957745,Active
N=C(N)c1ccc(CNC(=O)[C@@H]2CCNN2C(=O)[C@@H](CC2CCCCC2)NCC(=O)O)cn1,8.468521082957745,Active
Cn1c(CNc2ccc(C(=N)N)cc2F)nc2cc(C(=O)N(CCC(=O)O)c3ccccn3)ccc21,8.45717457304082,Active
C[C@@](N)(Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)NC(CCCN=C(N)N)C(=O)c1nc2ccccc2s1,8.455931955649724,Active
CCn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)c3ccccc3F)ccc21,8.453457336521868,Active
N=C(N)c1ccc(CNC(=O)[C@@H]2C=CCN2C(=O)[C@@H](CC2CCCCC2)NCC(=O)O)s1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,8.443697499232712,Active
CCn1c(CNc2ccc(C(=N)N)cc2F)nc2cc(C(=O)N(CCC(=O)O)c3cc(C)ccn3)ccc21,8.43297363384094,Active
Cc1cc(C)cc(N(CCC(=O)O)C(=O)c2ccc3c(c2)nc(CNc2ccc(C(=N)N)cc2F)n3C)c1,8.431798275933005,Active
COc1ccc(S(=O)(=O)NC[C@@H](O)[C@H](Cc2ccccc2)NCc2cc(Cl)ccc2-n2cnnn2)cc1,8.431798275933005,Active
CCn1c(CNc2ccc(C(=N)N)cc2F)nc2cc(C(=O)N(CCC(=O)O)c3ccccc3F)ccc21,8.430626090384955,Active
Cn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)c3ccc(F)c(F)c3)ccc21,8.40340290437354,Active
CC(C)(CO)C(=O)n1nc(C2CCOCC2)c(F)c1NCc1ccc(Cl)s1,8.397940008672037,Active
COc1ccccc1C(=O)n1nc(-c2ccccn2)nc1NCc1ccc(F)cc1,8.397940008672037,Active
CC(C)=CC(=O)C[C@H]1C(=O)O[C@H]2C[C@]3(C)C4=CC[C@@H]5[C@](C)(CC[C@H]6OC(=O)[C@@]56C)[C@H]4CC[C@@]3(C)[C@@H]21,8.397940008672037,Active
N[C@H]1CC[C@H](CNC(=O)[C@@H]2CCCN2C(=O)C2(O)c3ccccc3-c3ccccc32)CC1,8.397940008672037,Active
CC(C)C[C@@H](NC1CCCCC1)C(=O)N1CCCC[C@H]1C(=O)NCc1ccc2c(N)nccc2c1,8.397940008672037,Active
Nc1ccccc1C(=O)n1nc(-c2ccccn2)cc1NCc1ccc(Cl)s1,8.397940008672037,Active
Cc1cccc(S(=O)(=O)Nc2ccc(C)n(CC(=O)NCCONC(=N)N)c2=O)c1,8.397940008672037,Active
O=C(NCc1cc(Cl)ccc1-n1cnnn1)[C@@H]1CC=NN1C(=O)[C@H](O)c1ccc(F)cc1,8.397940008672037,Active
CCn1c(CNc2ccc(C(=N)N)cc2F)nc2cc(C(=O)N(CCC(=O)O)c3ccc(F)c(C)c3)ccc21,8.378823718224965,Active
COc1ccc(NC(=O)c2nc3c(s2)CN(C)CC3)c(C(=O)Nc2ccc(Cl)cn2)c1,8.3767507096021,Active
Cc1cnc(NCC(F)(F)c2ccccn2)c(=O)n1CC(=O)NCc1ncccc1F,8.3767507096021,Active
CCn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)c3ccc(F)cc3F)ccc21,8.373659632624957,Active
N=C(N)c1sc(CNC(=O)[C@@H]2C=CCN2C(=O)[C@@H](CC2CCCCC2)NCC(=O)O)cc1Cl,8.368556230986828,Active
COc1cc(C(=O)N2CC(C)(C)OC[C@H]2CCO)cc2nc(NC(CF)c3cccc(Cl)c3)oc12,8.366531544420413,Active
